TXN659787|1001|deposit|25000.00|2026-07-21 23:49:47|25000.00|Initial deposit on account creation
TXN659870|1001|withdrawal|2500.00|2026-07-21 23:51:09|22500.00|Cash withdrawal at ATM
TXN458181|1002|withdrawal|30000.00|2026-07-31 05:36:19|15000.00|ATM cash withdrawal
TXN458201|1002|deposit|1000000.00|2026-07-31 05:36:38|1015000.00|Cash deposit
TXN738203|1001|withdrawal|500.00|2026-08-03 11:23:19|22000.00|ATM cash withdrawal
TXN869301|1002|withdrawal|10000.00|2026-08-04 23:48:16|1005000.00|ATM cash withdrawal
TXN869649|1002|deposit|5000.00|2026-08-04 23:54:03|1010000.00|Cash deposit
TXN870101|1002|transfer|50000.00|2026-08-05 00:01:34|960000.00|Transfer to 1003
TXN870131|1002|transfer|10000.00|2026-08-05 00:02:03|950000.00|Transfer to Account #1001
TXN870189|1001|transfer|5000.00|2026-08-05 00:03:00|27000.00|Transfer to Account #1002
TXN870227|1002|transfer|500000.00|2026-08-05 00:03:37|455000.00|Transfer to 1001
TXN870246|1002|transfer|10000.00|2026-08-05 00:03:55|445000.00|Transfer to Account #1001
TXN913436|1001|deposit|50000.00|2026-08-05 12:03:44|587000.00|Cash deposit
TXN913458|1001|withdrawal|10000.00|2026-08-05 12:04:05|577000.00|ATM cash withdrawal
TXN936548|1002|deposit|100.00|2026-08-05 18:28:54|445100.00|Cash deposit
TXN936555|1002|withdrawal|5000.00|2026-08-05 18:29:00|440100.00|ATM cash withdrawal
TXN937382|1002|loan_payment|20000.00|2026-08-05 18:42:46|420100.00|Repayment for Loan #1
TXN937453|1002|loan_payment|20000.00|2026-08-05 18:43:56|400100.00|Repayment for Loan #1
TXN937646|1001|loan_payment|100.00|2026-08-05 18:47:08|586900.00|Repayment for Loan #2
TXN937674|1001|loan_payment|10.00|2026-08-05 18:47:35|586890.00|Repayment for Loan #2
TXN937679|1001|loan_payment|5.00|2026-08-05 18:47:39|586885.00|Repayment for Loan #2
TXN937690|1001|loan_payment|5.00|2026-08-05 18:47:49|586880.00|Repayment for Loan #2
TXN937699|1001|loan_payment|9880.00|2026-08-05 18:47:57|577000.00|Repayment for Loan #2
TXN937880|1002|loan_payment|100.00|2026-08-05 18:50:57|400100.00|Repayment for Loan #3
TXN444620|1001|withdrawal|40000.00|2026-08-11 15:36:36|537000.00|ATM cash withdrawal
TXN448768|1002|deposit|1000.00|2026-08-11 16:45:43|401100.00|Loan #4 approved
TXN448820|1002|loan_payment|1000.00|2026-08-11 16:46:34|400100.00|Repayment for Loan #4
TXN449390|1002|withdrawal|5000.00|2026-08-11 16:56:03|395100.00|ATM cash withdrawal
TXN450378|1002|transfer|50000.00|2026-08-11 17:12:30|345100.00|Transfer to 1001
TXN487330|1001|transfer|20000.00|2026-08-12 03:28:21|567000.00|Transfer to Account #1002
TXN487385|1001|transfer|500000.00|2026-08-12 03:29:15|67000.00|Transfer to 1002
TXN487424|1001|withdrawal|5000.00|2026-08-12 03:29:53|62000.00|ATM cash withdrawal
TXN487441|1001|transfer|40000.00|2026-08-12 03:30:09|22000.00|Transfer to Account #1003
